Language,Dialect,DialectAlt,DialectContinuum,DialectContinuumAlt,SubDialect,SubDialectAlt,NativeSpeakers,LocationCountry,LocationCountryInfo,Level1Eng,Level2Eng,Level1Kur,Level2Kur,LocationOld,LocationAlt,LocationKur,LocationType,LocationInfo,,,DialectDensity,NativeSpeakersYear,OfficialLanguage,Notes,Sources
Kurdish,Northern Kurdish,Kurmanji,Northern Kurmanji,"Serhed Kurdish, NK",,,,,,Bingol,,Bingol,,Bingöl,Çewlig,,province,some districts,,,middle,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Northern Kurmanji,"Serhed Kurdish, NK",,,,,,Diyarbakir,,Amed,,Diyarbakır,,,province,some districts,,,middle,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Northern Kurmanji,"Serhed Kurdish, NK",,,,Turkay,,Varto,,Ew hêja ye,,Varto,,,,,,,low,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Northern Kurmanji,"Serhed Kurdish, NK",,,,Iran,,Maku,,Tam,,Maku,,,,,,,low,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Northern Kurmanji,"Serhed Kurdish, NK",,,,Turkey,,Kars,,Qers,,Kars,,,,,,,low,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Northern Kurmanji,"Serhed Kurdish, NK",,,,Armenia,,Yerevan,,Yerevan,,Yerevan,,,,,,,low,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Northern Kurmanji,"Serhed Kurdish, NK",,,,Iran,,Salmas,,Salma,,Salmās,,,,,,,low,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southern Kurmanji,SK,,,,Turkey,,,,,,,,,,,,,,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southern Kurmanji,SK,,,,Turkey,,Mardin,,Mêrdîn,,Mardin,,,province,,,,high,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southern Kurmanji,SK,,,,Turkey,,Batman,,Êlih,,Batman,,,province,,,,high,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southern Kurmanji,SK,,,,Turkey,,Sirnak,,Sirnak,,Şırnak,Şirnex,,province,,,,high,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southern Kurmanji,SK,,,,Turkey,,Diyarbakir,,Amed,,Diyarbakır,Diyarbekir,,province,,,,high,,,,(Öpengin & Haig 2014)
